data;valor;membro_id;categoria;descricao
2024-01-03;-407,35;Felipe;alimentacao;Supermercado semanal
2024-01-05;8000,00;Calebe;Salario;
05/01/2024;-111.35;C.alebe;Combustivel;Combustivel
2024-01-05;-17.20;Rafael;Supermercado;Café/Lanche
2024-01-07;-3,011.26;Calebe;Aluguel;Aluguel residencial
2024-01-07;-2710,13;Calebe;Moradia;Aluguel residencial
01-08-2024;-450,40;Felipe;alimentacao;
2024-01-10;-774.32;Calebe;Combustivel;Parcela carro/seguro
01-14-2024;-154,89;Calebe;Estudos;assinatura educacional
2024-01-15;R$ 4000,00;Felipe-M;Depósito;Salario mensal de Felipe
2024-01-15;R$ -16,75;Felipe;Alimentacao;Café/Lanche
15/01/2024;-177.11;Calebe;TRANSPORTE;Combustivel
2024-01-16;-14.62;Rafael;Alimentacao;Café/Lanche
2024-01-16;R$ -442.20;Felipe-M;Mercado;Supermercado semanal
16/01/2024;-34.12;Rafael;Alimentacao;Delivery
2024-01-20;R$ -19.84;Rafael;Combustivel;estacionamento
21/01/2024;R$ -27.41;Felipe;Transporte;Estacionamento
2024-01-22;-18.37;Felipe;Lazer;App de musica
2024-01-22;R$ -42.19;Rafael;Cinema/Show;
01-22-2024;-33.68;Rafael;ALIMENTACAO;Lanche
2024-01-22;-18,37;Felipe;lazer;
2024-01-22;-42.19;Rafa;Entretenimento;App de musica
2024-04-27;R$ -84.54;Rafael;lazer;cinema
01-23-2024;-184.81;Rafael;Streaming;Show/Evento
2024-01-23;-187.18;Calebe;TRANSPORTE;Combustivel
2024-01-24;-154.15;Rafael;LAZER;
2024-01-24;R$ -470.74;Felipe;ALIMENTACAO;
2024-01-24;-170,88;Calebe;Transporte;Combustivel
01-25-2024;-37,20;Rafael;LAZER;App de musica
2025-01-06;R$ -44.41;Rafael;Supermercado;Delivery
25/01/2024;-188.65;Felipe;Saude;Consulta
25/01/2024;-59.65;Rafel;Alimentacao;
26/01/2024;-38.90;Rafael;Entretenimento;App de musica
2024-01-26;-43.22;Rafael;lazer;App de musica
01-26-2024;R$ -43,22;Rafael;Lazer;App de musica
2024-01-28;R$ -1248.14;Calebe;Estudos;Transferencia para Poupanca
01-28-2024;-37.96;Felipe;Streaming;App de musica
01-31-2024;-94.51;Rafael;Alimentacao;Jantar fora
2024-01-31;-424.13;Felipe;alimentacao;Supermercado semanal
01-31-2024;-471,26;Felipe;ALIMENTACAO;Supermercado semanal
01/02/2024;-562,56;Felipe;Mercado;Supermercado semanal
01/02/2024;-562,56;Felipe;Alimentacao;Supermercado semanal
2025-02-28;-1342.08;Felipe;Cursos;
06/02/2024;-26,28;Rafael;LAZER;App de musica
2024-02-07;-3635.56;Calebbe;Moradia;Aluguel residencial
2024-02-07;-3635,56;Calebe;Aluguel/Moradia;Aluguel residencial
02-07-2024;8000.00;Calebe;Salario;Salario mensal de Calebe
07/02/2024;R$ 8.000,00;Calebe;Salario;Salario mensal de Calebe
08/02/2024;-47.62;Rafael;Uber/taxi;Estacionamento
2024-02-08;-47.62;Rafael;Gastos com Carro;Estacionamento
02-09-2024;R$ -553,94;Felipe;ALIMENTACAO;Supermercado semanal *
02-09-2024;-40,72;Rafael;Mercado;Café/Lanche
2024-02-10;-934.86;Calebe;Gastos com Carro;Parcela carro/seguro
10/02/2024;-934,86;Calebe;Gastos com Carro;Parcela carro/seguro
02-10-2024;-57.58;Rafael;Lazer;App de musica
02-11-2024;-34,85;Rafael;Supermercado;Jantar fora
2024-02-11;-34,85;Rafael;alimentacao;JANTAR FORA
13/02/2024;R$ -34.06;Rafael;Combustivel;Estacionamento
2024-02-14;-24.53;Felipe;Supermercado;Café/Lanche
2024-02-14;-75,41;Rafael;Alimentacao;Jantar fora
2024-02-15;-112.43;Rafael;Cinema/Show;
15/02/2024;4,000.00;Felipe;salario;Salario mensal de Felipe *
02-16-2024;-54,88;Felipe;alimentacao;Café/Lanche
2024-02-16;-125.65;Rafael;Cinema/Show;Cinema
;-54.88;Felipe;Mercado;
2024-02-17;-317,86;Felipe;Consulta;Consulta
04-18-2025;R$ -69,88;Rafaell;Alimentacao;
2024-02-18;-560.79;Felipe;Restaurante;Supermercado semanal *
18/02/2024;-190,58;C.alebe;Transporte;Combustivel
2024-02-19;-14,77;Rafael;Entretenimento;
02-19-2024;-14,77;Rafael;LAZER;App de musica
02-19-2024;-14.77;Rafael;lazer;
2024-02-21;-24,20;Rafael;transporte;Estacionamento
2024-02-21;-41,88;Rafael;alimentacao;Jantar fora
2024-02-21;-184.57;Calebe;EDUCACAO;Material didatico
2024-02-21;-41.88;Rafael;Restaurante;Jantar fora
22/02/2024;-47,75;Rafael;Entretenimento;App de musica
02-23-2024;R$ -643.44;Felipe;ALIMENTACAO;supermercado semanal
02-24-2024;R$ -42,45;Rafael;ALIMENTACAO;Delivery
24/02/2024;-242.84;Felipe;Farmacia;Farmacia
2024-02-24;-242,84;Felipe;saude;Farmacia
02-24-2024;-242.84;Felipe;Farmacia;Farmacia
02-25-2024;800.00;Rafel;Pagamento;Salario mensal de Rafael
02-26-2024;-204.11;Calebe;transporte;Combustivel *
02-28-2024;R$ -841,61;Felippe;Cursos;
